run_id,coin,timeframe,target,feature_combo,n_features,param_tag,lags,cov_lags,max_depth,max_leaves,min_child_weight,subsample,colsample_bytree,gamma,rmse,mae,direction_acc_pct,strategy_return_net,rmse_early,rmse_late,diracc_early,diracc_late,out_dir
20260327_002148,BTC,1d,log_ret_close,log_ret_vol__volatility__log_ret_close,2,base_l7_cov7,7,7,4,10,7,0.89,0.93,0.005,0.024648696346780564,0.017300500458168704,47.107438016528924,-0.38546854985516643,0.020785979361879224,0.027983200766872933,42.97520661157025,51.2396694214876,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_log_ret_vol__volatility__log_ret_close/base_l7_cov7/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,volatility__atr__log_ret_close,2,base_l7_cov7,7,7,4,10,7,0.89,0.93,0.005,0.024667163281736484,0.017171329352867724,45.867768595041326,-0.6010488151941167,0.02027533021078084,0.028387477407820074,43.80165289256198,47.93388429752066,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_volatility__atr__log_ret_close/base_l7_cov7/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,log_ret_vol__volatility__macd__log_ret_close,3,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_log_ret_vol__volatility__macd__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,log_ret_vol__volatility__bollinger_bands__log_ret_close,3,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_log_ret_vol__volatility__bollinger_bands__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,log_ret_vol__volatility__atr__log_ret_close,3,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_log_ret_vol__volatility__atr__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,log_ret_vol__rsi__macd__log_ret_close,3,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_log_ret_vol__rsi__macd__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,log_ret_vol__rsi__bollinger_bands__log_ret_close,3,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_log_ret_vol__rsi__bollinger_bands__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,log_ret_vol__rsi__atr__log_ret_close,3,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_log_ret_vol__rsi__atr__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,log_ret_vol__macd__atr__log_ret_close,3,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_log_ret_vol__macd__atr__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,log_ret_vol__bollinger_bands__atr__log_ret_close,3,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_log_ret_vol__bollinger_bands__atr__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,volatility__rsi__macd__log_ret_close,3,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_volatility__rsi__macd__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,volatility__rsi__bollinger_bands__log_ret_close,3,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_volatility__rsi__bollinger_bands__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,volatility__rsi__atr__log_ret_close,3,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_volatility__rsi__atr__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,volatility__macd__bollinger_bands__log_ret_close,3,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_volatility__macd__bollinger_bands__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,volatility__macd__atr__log_ret_close,3,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_volatility__macd__atr__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,volatility__bollinger_bands__atr__log_ret_close,3,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_volatility__bollinger_bands__atr__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,rsi__macd__bollinger_bands__log_ret_close,3,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_rsi__macd__bollinger_bands__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,rsi__macd__atr__log_ret_close,3,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_rsi__macd__atr__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,rsi__bollinger_bands__atr__log_ret_close,3,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_rsi__bollinger_bands__atr__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,macd__bollinger_bands__atr__log_ret_close,3,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_macd__bollinger_bands__atr__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,log_ret_vol__volatility__rsi__log_ret_close,3,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_log_ret_vol__volatility__rsi__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,bollinger_bands__atr__log_ret_close,2,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_bollinger_bands__atr__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,log_ret_vol__macd__bollinger_bands__log_ret_close,3,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_log_ret_vol__macd__bollinger_bands__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,macd__bollinger_bands__log_ret_close,2,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_macd__bollinger_bands__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,macd__atr__log_ret_close,2,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_macd__atr__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,volatility__log_ret_close,1,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_volatility__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,rsi__log_ret_close,1,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_rsi__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,macd__log_ret_close,1,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_macd__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,bollinger_bands__log_ret_close,1,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_bollinger_bands__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,atr__log_ret_close,1,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_atr__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,log_ret_vol__volatility__log_ret_close,2,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_log_ret_vol__volatility__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,log_ret_vol__rsi__log_ret_close,2,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_log_ret_vol__rsi__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,log_ret_vol__macd__log_ret_close,2,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_log_ret_vol__macd__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,log_ret_vol__log_ret_close,1,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_log_ret_vol__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,log_ret_vol__atr__log_ret_close,2,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_log_ret_vol__atr__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,volatility__rsi__log_ret_close,2,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_volatility__rsi__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,log_ret_vol__bollinger_bands__log_ret_close,2,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_log_ret_vol__bollinger_bands__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,volatility__macd__log_ret_close,2,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_volatility__macd__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,volatility__bollinger_bands__log_ret_close,2,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_volatility__bollinger_bands__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
20260327_002148,BTC,1d,log_ret_close,volatility__atr__log_ret_close,2,regularized_l7_cov14,7,14,3,8,9,0.8,0.85,0.05,0.024728430284341435,0.017309965457718735,46.28099173553719,-0.548170515311058,0.020165134197190886,0.028571977381069584,47.107438016528924,45.45454545454545,experiment_output/runs/20260327_002148/model_predictions/XGBOOST/input_volatility__atr__log_ret_close/regularized_l7_cov14/log_ret_close/BTC/1d
